k-means,MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.0,0.0,0.16,0.0,3,24,1,5000
0.0,0.0,0.16,0.0,3,24,2,5000
0.0,0.0,0.16,0.01,3,24,4,5000
0.0,0.0,0.17,0.01,3,24,8,5000
0.0,0.0,0.16,0.02,3,24,16,5000
0.0,0.0,0.17,0.1,3,24,32,5000
0.0,0.0,0.19,0.17,3,24,64,5000
0.0,0.05,0.02,0.01,3,36,1,5000
0.0,0.05,0.02,0.01,3,36,2,5000
0.0,0.05,0.02,0.01,3,36,4,5000
0.0,0.05,0.02,0.02,3,36,8,5000
0.0,0.05,0.02,0.03,3,36,16,5000
0.0,0.05,0.02,0.05,3,36,32,5000
0.0,0.05,0.02,0.18,3,36,64,5000
0.0,0.01,0.0,0.01,4,12,1,5000
0.0,0.01,0.0,0.01,4,12,2,5000
0.0,0.01,0.0,0.01,4,12,4,5000
0.0,0.01,0.0,0.02,4,12,8,5000
0.0,0.01,0.0,0.05,4,12,16,5000
0.0,0.01,0.0,0.1,4,12,32,5000
0.0,0.01,0.0,0.3,4,12,64,5000
0.0,0.0,0.0,0.0,4,24,1,5000
0.0,0.0,0.0,0.0,4,24,2,5000
0.0,0.0,0.0,0.0,4,24,4,5000
0.0,0.0,0.01,0.02,4,24,8,5000
0.0,0.0,0.01,0.04,4,24,16,5000
0.0,0.0,0.01,0.12,4,24,32,5000
0.0,0.0,0.01,0.34,4,24,64,5000
0.0,0.02,0.19,0.0,4,36,1,5000
0.0,0.02,0.19,0.0,4,36,2,5000
0.0,0.02,0.19,0.0,4,36,4,5000
0.0,0.02,0.19,0.01,4,36,8,5000
0.0,0.02,0.19,0.02,4,36,16,5000
0.0,0.02,0.2,0.07,4,36,32,5000
0.0,0.02,0.21,0.21,4,36,64,5000
