MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.03,0.06,0.0,3,36,1,1000
0.03,0.06,0.0,3,36,2,1000
0.11,0.15,0.03,3,36,4,1000
0.22,0.35,0.23,3,36,8,1000
0.3,0.57,0.73,3,36,16,1000
0.32,0.85,1.0,3,36,32,1000
0.33,1.0,1.0,3,36,64,1000
0.04,0.02,0.01,4,12,1,1000
0.1,0.02,0.02,4,12,2,1000
0.25,0.04,0.03,4,12,4,1000
0.74,0.02,0.44,4,12,8,1000
1.0,0.04,0.99,4,12,16,1000
1.0,0.37,1.0,4,12,32,1000
1.0,0.88,1.0,4,12,64,1000
0.03,0.05,0.01,4,24,1,1000
0.06,0.06,0.02,4,24,2,1000
0.11,0.08,0.04,4,24,4,1000
0.22,0.18,0.36,4,24,8,1000
0.38,0.28,0.96,4,24,16,1000
0.49,0.54,1.0,4,24,32,1000
0.49,0.72,1.0,4,24,64,1000
0.06,0.07,0.03,4,36,1,1000
0.08,0.06,0.05,4,36,2,1000
0.16,0.13,0.12,4,36,4,1000
0.28,0.27,0.45,4,36,8,1000
0.4,0.49,0.98,4,36,16,1000
0.46,0.82,1.0,4,36,32,1000
0.46,1.0,1.0,4,36,64,1000
0.04,0.06,0.04,2,12,1,2500
0.09,0.16,0.09,2,12,2,2500
0.12,0.02,0.17,2,12,4,2500
0.2,0.0,0.35,2,12,8,2500
0.24,0.21,0.85,2,12,16,2500
0.24,0.33,1.0,2,12,32,2500
0.24,0.33,1.0,2,12,64,2500
0.09,0.07,0.09,2,24,1,2500
0.13,0.09,0.13,2,24,2,2500
0.29,0.09,0.26,2,24,4,2500
0.72,0.13,0.56,2,24,8,2500
0.99,0.14,0.96,2,24,16,2500
1.0,0.49,1.0,2,24,32,2500
1.0,0.91,1.0,2,24,64,2500
0.12,0.04,0.11,2,36,1,2500
0.18,0.05,0.13,2,36,2,2500
0.25,0.16,0.3,2,36,4,2500
0.32,0.17,0.59,2,36,8,2500
0.35,0.34,0.99,2,36,16,2500
0.36,0.47,1.0,2,36,32,2500
0.36,0.98,1.0,2,36,64,2500
0.05,0.12,0.01,3,12,1,2500
0.08,0.13,0.02,3,12,2,2500
0.17,0.12,0.18,3,12,4,2500
0.28,0.14,0.52,3,12,8,2500
0.31,0.23,1.0,3,12,16,2500
0.32,0.27,1.0,3,12,32,2500
0.32,0.41,1.0,3,12,64,2500
0.09,0.02,0.02,3,24,1,2500
0.1,0.05,0.03,3,24,2,2500
0.16,0.1,0.13,3,24,4,2500
0.25,0.09,0.64,3,24,8,2500
0.29,0.21,1.0,3,24,16,2500
0.29,0.17,1.0,3,24,32,2500
0.29,0.46,1.0,3,24,64,2500
0.06,0.1,0.01,3,36,1,2500
0.11,0.11,0.02,3,36,2,2500
0.23,0.17,0.09,3,36,4,2500
0.32,0.37,0.52,3,36,8,2500
0.42,0.55,1.0,3,36,16,2500
0.42,0.95,1.0,3,36,32,2500
0.42,1.0,1.0,3,36,64,2500
0.18,0.0,0.06,4,12,1,2500
0.33,0.01,0.14,4,12,2,2500
0.59,0.01,0.38,4,12,4,2500
0.85,0.01,0.9,4,12,8,2500
0.97,0.01,1.0,4,12,16,2500
0.99,0.04,1.0,4,12,32,2500
0.99,0.22,1.0,4,12,64,2500
0.09,0.04,0.05,4,24,1,2500
0.12,0.04,0.09,4,24,2,2500
0.21,0.09,0.39,4,24,4,2500
0.36,0.24,0.88,4,24,8,2500
0.42,0.48,1.0,4,24,16,2500
0.42,0.62,1.0,4,24,32,2500
0.42,0.87,1.0,4,24,64,2500
0.08,0.11,0.0,4,36,1,2500
0.15,0.11,0.01,4,36,2,2500
0.46,0.12,0.1,4,36,4,2500
0.98,0.09,0.73,4,36,8,2500
1.0,0.27,1.0,4,36,16,2500
1.0,0.24,1.0,4,36,32,2500
1.0,1.0,1.0,4,36,64,2500
0.2,0.1,0.16,2,12,1,5000
0.27,0.05,0.21,2,12,2,5000
0.36,0.01,0.41,2,12,4,5000
0.42,0.0,0.81,2,12,8,5000
0.45,0.15,1.0,2,12,16,5000
0.45,0.19,1.0,2,12,32,5000
0.45,0.18,1.0,2,12,64,5000
0.02,0.04,0.15,2,24,1,5000
0.04,0.04,0.22,2,24,2,5000
0.04,0.11,0.45,2,24,4,5000
0.05,0.17,0.85,2,24,8,5000
0.05,0.29,1.0,2,24,16,5000
0.05,0.44,1.0,2,24,32,5000
0.05,0.65,1.0,2,24,64,5000
0.08,0.02,0.11,2,36,1,5000
0.1,0.07,0.18,2,36,2,5000
0.1,0.14,0.3,2,36,4,5000
0.15,0.39,0.72,2,36,8,5000
0.15,0.81,1.0,2,36,16,5000
0.15,0.97,1.0,2,36,32,5000
0.15,1.0,1.0,2,36,64,5000
0.15,0.06,0.12,3,12,1,5000
0.27,0.09,0.17,3,12,2,5000
0.54,0.08,0.54,3,12,4,5000
0.8,0.09,0.96,3,12,8,5000
0.84,0.12,1.0,3,12,16,5000
0.84,0.11,1.0,3,12,32,5000
0.84,0.23,1.0,3,12,64,5000
0.13,0.1,0.04,3,24,1,5000
0.24,0.11,0.17,3,24,2,5000
0.43,0.15,0.45,3,24,4,5000
0.51,0.2,0.89,3,24,8,5000
0.51,0.28,1.0,3,24,16,5000
0.51,0.51,1.0,3,24,32,5000
0.51,0.71,1.0,3,24,64,5000
0.08,0.08,0.03,3,36,1,5000
0.15,0.18,0.07,3,36,2,5000
0.27,0.28,0.34,3,36,4,5000
0.33,0.53,0.86,3,36,8,5000
0.35,0.83,1.0,3,36,16,5000
0.35,0.99,1.0,3,36,32,5000
0.35,1.0,1.0,3,36,64,5000
0.14,0.01,0.07,4,12,1,5000
0.17,0.0,0.17,4,12,2,5000
0.3,0.0,0.61,4,12,4,5000
0.4,0.0,1.0,4,12,8,5000
0.4,0.0,1.0,4,12,16,5000
0.4,0.02,1.0,4,12,32,5000
0.4,0.04,1.0,4,12,64,5000
0.19,0.06,0.12,4,24,1,5000
0.36,0.05,0.34,4,24,2,5000
0.54,0.12,0.82,4,24,4,5000
0.71,0.17,1.0,4,24,8,5000
0.76,0.25,1.0,4,24,16,5000
0.76,0.39,1.0,4,24,32,5000
0.76,0.54,1.0,4,24,64,5000
0.11,0.08,0.06,4,36,1,5000
0.2,0.06,0.18,4,36,2,5000
0.36,0.21,0.59,4,36,4,5000
0.49,0.28,1.0,4,36,8,5000
0.49,0.34,1.0,4,36,16,5000
0.49,0.39,1.0,4,36,32,5000
0.49,0.47,1.0,4,36,64,5000
