MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.36,0.24,1.0,4,24,8,2500
0.42,0.48,1.0,4,24,16,2500
0.42,0.62,1.0,4,24,32,2500
0.42,0.87,1.0,4,24,64,2500
0.08,0.11,0.05,4,36,1,2500
0.15,0.11,0.35,4,36,2,2500
0.46,0.12,0.91,4,36,4,2500
0.98,0.09,1.0,4,36,8,2500
1.0,0.27,1.0,4,36,16,2500
1.0,0.24,1.0,4,36,32,2500
1.0,1.0,1.0,4,36,64,2500
0.2,0.1,0.16,2,12,1,5000
0.27,0.05,0.31,2,12,2,5000
0.36,0.01,0.8,2,12,4,5000
0.42,0.0,1.0,2,12,8,5000
0.45,0.15,1.0,2,12,16,5000
0.45,0.19,1.0,2,12,32,5000
0.45,0.18,1.0,2,12,64,5000
0.02,0.04,0.31,2,24,1,5000
0.04,0.04,0.48,2,24,2,5000
0.04,0.11,0.84,2,24,4,5000
0.05,0.17,1.0,2,24,8,5000
0.05,0.29,1.0,2,24,16,5000
0.05,0.44,1.0,2,24,32,5000
0.05,0.65,1.0,2,24,64,5000
0.08,0.02,0.17,2,36,1,5000
0.1,0.07,0.33,2,36,2,5000
0.1,0.14,0.78,2,36,4,5000
0.15,0.39,1.0,2,36,8,5000
0.15,0.81,1.0,2,36,16,5000
0.15,0.97,1.0,2,36,32,5000
0.15,1.0,1.0,2,36,64,5000
0.15,0.06,0.15,3,12,1,5000
0.27,0.09,0.47,3,12,2,5000
0.54,0.08,0.99,3,12,4,5000
0.8,0.09,1.0,3,12,8,5000
0.84,0.12,1.0,3,12,16,5000
0.84,0.11,1.0,3,12,32,5000
0.84,0.23,1.0,3,12,64,5000
0.13,0.1,0.09,3,24,1,5000
0.24,0.11,0.53,3,24,2,5000
0.43,0.15,0.93,3,24,4,5000
0.51,0.2,1.0,3,24,8,5000
0.51,0.28,1.0,3,24,16,5000
0.51,0.51,1.0,3,24,32,5000
0.51,0.71,1.0,3,24,64,5000
0.08,0.08,0.12,3,36,1,5000
0.15,0.18,0.41,3,36,2,5000
0.27,0.28,0.88,3,36,4,5000
0.33,0.53,1.0,3,36,8,5000
0.35,0.83,1.0,3,36,16,5000
0.35,0.99,1.0,3,36,32,5000
0.35,1.0,1.0,3,36,64,5000
0.14,0.01,0.13,4,12,1,5000
0.17,0.0,0.58,4,12,2,5000
0.3,0.0,1.0,4,12,4,5000
0.4,0.0,1.0,4,12,8,5000
0.4,0.0,1.0,4,12,16,5000
0.4,0.02,1.0,4,12,32,5000
0.4,0.04,1.0,4,12,64,5000
0.19,0.06,0.29,4,24,1,5000
0.36,0.05,0.82,4,24,2,5000
0.54,0.12,1.0,4,24,4,5000
0.71,0.17,1.0,4,24,8,5000
0.76,0.25,1.0,4,24,16,5000
0.76,0.39,1.0,4,24,32,5000
0.76,0.54,1.0,4,24,64,5000
0.11,0.08,0.15,4,36,1,5000
0.2,0.06,0.65,4,36,2,5000
0.36,0.21,0.99,4,36,4,5000
0.49,0.28,1.0,4,36,8,5000
0.49,0.34,1.0,4,36,16,5000
0.49,0.39,1.0,4,36,32,5000
0.49,0.47,1.0,4,36,64,5000
