MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.07,0.33,1.0,3,12,30,500,0.98
0.07,0.53,1.0,3,12,40,500,1.0
0.07,0.72,1.0,3,12,50,500,1.0
0.07,0.68,1.0,3,12,60,500,1.0
0.07,0.83,1.0,3,12,70,500,1.0
0.07,0.89,1.0,3,12,80,500,1.0
0.07,0.9,1.0,3,12,90,500,1.0
0.07,0.87,1.0,3,12,100,500,1.0
0.06,0.03,0.0,3,24,1,500,0.0
0.29,0.08,0.74,3,24,10,500,0.01
0.44,0.14,1.0,3,24,20,500,0.31
0.52,0.18,1.0,3,24,30,500,0.69
0.53,0.27,1.0,3,24,40,500,0.97
0.53,0.37,1.0,3,24,50,500,1.0
0.53,0.55,1.0,3,24,60,500,1.0
0.53,0.9,1.0,3,24,70,500,1.0
0.53,0.97,1.0,3,24,80,500,1.0
0.53,0.98,1.0,3,24,90,500,1.0
0.53,1.0,1.0,3,24,100,500,1.0
0.02,0.13,0.01,3,36,1,500,0.0
0.03,0.49,0.73,3,36,10,500,0.09
0.04,0.82,1.0,3,36,20,500,0.58
0.04,0.95,1.0,3,36,30,500,0.93
0.04,0.98,1.0,3,36,40,500,0.98
0.04,0.99,1.0,3,36,50,500,1.0
0.04,1.0,1.0,3,36,60,500,1.0
0.04,1.0,1.0,3,36,70,500,1.0
0.04,1.0,1.0,3,36,80,500,1.0
0.04,1.0,1.0,3,36,90,500,1.0
0.04,1.0,1.0,3,36,100,500,1.0
0.02,0.07,0.01,4,12,1,500,0.0
0.28,0.15,0.96,4,12,10,500,0.07
0.56,0.21,1.0,4,12,20,500,0.35
0.65,0.31,1.0,4,12,30,500,0.84
0.65,0.47,1.0,4,12,40,500,0.99
0.65,0.64,1.0,4,12,50,500,1.0
0.65,0.54,1.0,4,12,60,500,1.0
0.65,0.63,1.0,4,12,70,500,1.0
0.65,0.71,1.0,4,12,80,500,1.0
0.65,0.91,1.0,4,12,90,500,1.0
0.65,0.99,1.0,4,12,100,500,1.0
0.05,0.08,0.03,4,24,1,500,0.0
0.2,0.17,0.97,4,24,10,500,0.03
0.29,0.19,1.0,4,24,20,500,0.42
0.32,0.14,1.0,4,24,30,500,0.96
0.32,0.3,1.0,4,24,40,500,1.0
0.32,0.4,1.0,4,24,50,500,1.0
0.32,0.42,1.0,4,24,60,500,1.0
0.32,0.32,1.0,4,24,70,500,1.0
0.32,0.33,1.0,4,24,80,500,1.0
0.32,0.51,1.0,4,24,90,500,1.0
0.32,0.55,1.0,4,24,100,500,1.0
0.06,0.06,0.03,4,36,1,500,0.0
0.22,0.38,0.95,4,36,10,500,0.01
0.31,0.75,1.0,4,36,20,500,0.22
0.35,0.92,1.0,4,36,30,500,0.8
0.35,0.98,1.0,4,36,40,500,0.99
0.35,1.0,1.0,4,36,50,500,1.0
0.35,1.0,1.0,4,36,60,500,1.0
0.35,1.0,1.0,4,36,70,500,1.0
0.35,1.0,1.0,4,36,80,500,1.0
0.35,1.0,1.0,4,36,90,500,1.0
0.35,1.0,1.0,4,36,100,500,1.0
0.03,0.02,0.04,2,12,1,1000,0.0
0.04,0.0,0.72,2,12,10,1000,0.39
0.07,0.11,1.0,2,12,20,1000,0.93
0.07,0.21,1.0,2,12,30,1000,1.0
0.07,0.27,1.0,2,12,40,1000,1.0
0.07,0.32,1.0,2,12,50,1000,1.0
0.07,0.35,1.0,2,12,60,1000,1.0
0.07,0.37,1.0,2,12,70,1000,1.0
0.07,0.39,1.0,2,12,80,1000,1.0
0.07,0.46,1.0,2,12,90,1000,1.0
0.07,0.5,1.0,2,12,100,1000,1.0
0.05,0.04,0.12,2,24,1,1000,0.0
0.14,0.15,0.89,2,24,10,1000,0.45
0.15,0.27,1.0,2,24,20,1000,0.97
0.15,0.46,1.0,2,24,30,1000,1.0
0.15,0.45,1.0,2,24,40,1000,1.0
0.15,0.82,1.0,2,24,50,1000,1.0
0.15,0.9,1.0,2,24,60,1000,1.0
