Metadata_pert_name,mode,Preprocessing,Cell type,mAP,p_value,p < 0.05,markers,-log10(mAP p-value)
AKT1-2,"same plate, different well",Standardize,A549,0.011909965429577223,0.7720045082230604,False,p>=0.05,0.11238016353643791
AKT1-2,"same plate, different well",Standardize,ES2,0.029507341763992074,0.12580834496030618,False,p>=0.05,0.9002905508620291
AKT1-2,"same plate, different well",Standardize,HCC44,0.014890986979753851,0.5393441325497403,False,p>=0.05,0.2681340415352382
ARID1B-1,"different plate, different well",MAD robustize,A549,0.045263231515068614,0.2644903592458265,False,p>=0.05,0.5775901535064718
ARID1B-1,"different plate, different well",MAD robustize,ES2,0.020737137598731258,0.29630819811401854,False,p>=0.05,0.5282563325009609
ARID1B-1,"different plate, different well",MAD robustize,HCC44,0.025042812541663323,0.259315331192676,False,p>=0.05,0.5861718061941952
ARID1B-1,"different plate, different well",Standardize,A549,0.012765255142961798,0.7993491533761352,False,p>=0.05,0.09726348068247424
ARID1B-1,"different plate, different well",Standardize,ES2,0.023069833995394275,0.2787141889393425,False,p>=0.05,0.5548409214151349
ARID1B-1,"different plate, different well",Standardize,HCC44,0.026588703457519652,0.2754356621385654,False,p>=0.05,0.55997982999304
ARID1B-1,"different plate, same well",MAD robustize,A549,0.09773559263448968,0.006058982482550959,True,p<0.05,2.2176003031137115
ARID1B-1,"different plate, same well",MAD robustize,ES2,0.4447887674474362,2.4454132905438228e-05,True,p<0.05,4.611647731781962
ARID1B-1,"different plate, same well",MAD robustize,HCC44,0.19184027777777776,0.0013957715450669751,True,p<0.05,2.8551856596756466
ARID1B-1,"different plate, same well",Standardize,A549,0.03620536149180211,0.11094726494737228,False,p>=0.05,0.9548833994518445
ARID1B-1,"different plate, same well",Standardize,ES2,0.04342178758854718,0.09340509714629774,False,p>=0.05,1.0296294235331902
ARID1B-1,"different plate, same well",Standardize,HCC44,0.04346290064793085,0.06101382248808459,False,p>=0.05,1.214571765804541
ARID1B-1,"same plate, different well",MAD robustize,A549,0.016475062511716418,0.5172814144001626,False,p>=0.05,0.28627312524151616
ARID1B-1,"same plate, different well",MAD robustize,ES2,0.015025385544234665,0.546495581191829,False,p>=0.05,0.26241334528200716
ARID1B-1,"same plate, different well",MAD robustize,HCC44,0.012975179335770843,0.6560768234458709,False,p>=0.05,0.18304530384817466
ARID1B-1,"same plate, different well",Standardize,A549,0.015473171616374478,0.5359277475648686,False,p>=0.05,0.2708937568538614
ARID1B-1,"same plate, different well",Standardize,ES2,0.02432110634059671,0.26579784033959003,False,p>=0.05,0.5754485521081447
ARID1B-1,"same plate, different well",Standardize,HCC44,0.020245055157375194,0.37917620031737476,False,p>=0.05,0.42115892976015684
ARID1B-2,"different plate, different well",MAD robustize,A549,0.04241313371203422,0.15617982428451016,False,p>=0.05,0.8063750701248089
ARID1B-2,"different plate, different well",MAD robustize,ES2,0.01498687441361911,0.5171678880672623,False,p>=0.05,0.2863684491206268
ARID1B-2,"different plate, different well",MAD robustize,HCC44,0.03786978386090079,0.21108540742029885,False,p>=0.05,0.675541788937225
ARID1B-2,"different plate, different well",Standardize,A549,0.017658791925045887,0.4972928525348739,False,p>=0.05,0.30338778272830397
ARID1B-2,"different plate, different well",Standardize,ES2,0.011796056294959572,0.7609337106363752,False,p>=0.05,0.11865317550115906
ARID1B-2,"different plate, different well",Standardize,HCC44,0.044718141107129454,0.20791481301397674,False,p>=0.05,0.6821145679987084
ARID1B-2,"different plate, same well",MAD robustize,A549,0.07173701979921743,0.015278534968675195,True,p<0.05,1.815918287483096
ARID1B-2,"different plate, same well",MAD robustize,ES2,0.02044627009986351,0.4456627708721877,False,p>=0.05,0.3509936438588146
ARID1B-2,"different plate, same well",MAD robustize,HCC44,0.18602764548949913,0.02510043705680309,True,p<0.05,1.6003187163793076
ARID1B-2,"different plate, same well",Standardize,A549,0.021080356431322705,0.28446072196722766,False,p>=0.05,0.5459776920475748
