Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers,const,control_barcodes,Metadata_gene_name
MCL1-5,0.18834118263616725,0.029397060293970604,0.04728098618709558,True,True,1.3253134735154006,HCC44,p<0.05,1.0,cutting_control,MCL1
MTOR-1,0.296032441978733,0.0022997700229977,0.00574942505749425,True,True,2.240375582587232,HCC44,p<0.05,1.0,cutting_control,MTOR
MTOR-2,0.6343998972872064,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,MTOR
MYC-1,1.0,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,MYC
MYC-2,1.0,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,MYC
PIK3CA-1,0.37468966083890914,0.0004999500049995,0.001470441191175,True,True,2.832552339983099,HCC44,p<0.05,1.0,cutting_control,PIK3CA
PIK3CA-2,0.3839579099118393,0.0004999500049995,0.001470441191175,True,True,2.832552339983099,HCC44,p<0.05,1.0,cutting_control,PIK3CA
PRDX1-1,0.12212730955056611,0.05699430056994301,0.07401857216875715,False,False,1.1306592967768532,HCC44,p>=0.05,1.0,cutting_control,PRDX1
PRDX1-2,0.048404884159092866,0.28657134286571345,0.28946600289466007,False,False,0.5384024358130868,HCC44,p>=0.05,1.0,cutting_control,PRDX1
PTK2-1,0.7035581750351572,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,PTK2
PTK2-2,0.9488843813387424,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,PTK2
RAC1-1,0.3455869706932229,0.0008999100089991,0.0024997500249975004,True,True,2.602103418604825,HCC44,p<0.05,1.0,cutting_control,RAC1
RAC1-2,0.16090909167699635,0.0327967203279672,0.04728098618709558,True,True,1.3253134735154006,HCC44,p<0.05,1.0,cutting_control,RAC1
RAF1-1,0.08399118328345728,0.10628937106289371,0.11428964630418678,False,False,0.9419931113075011,HCC44,p>=0.05,1.0,cutting_control,RAF1
RAF1-2,0.11454960308665313,0.063993600639936,0.0804919508049195,False,False,1.0942475469089943,HCC44,p>=0.05,1.0,cutting_control,RAF1
RHOA-1,0.865026455026455,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,RHOA
RHOA-2,0.971031746031746,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,RHOA
SDHB-1,0.3250325425505586,0.0011998800119988001,0.0032429189513481084,True,True,2.489063905296233,HCC44,p<0.05,1.0,cutting_control,SDHB
SDHB-2,0.7339814814814815,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,SDHB
SLC2A1-1,0.41242354922188484,0.00029997000299970003,0.0009676451709667743,True,True,3.014283866391473,HCC44,p<0.05,1.0,cutting_control,SLC2A1
SLC2A2-2,0.39817766095704177,0.00029997000299970003,0.0009676451709667743,True,True,3.014283866391473,HCC44,p<0.05,1.0,cutting_control,SLC2A2
SMARCB1-1,0.5507098949619693,9.999000099990002e-05,0.0003571071464282143,True,True,3.447201458619082,HCC44,p<0.05,1.0,cutting_control,SMARCB1
SMARCB1-2,0.2586747882922249,0.006799320067993201,0.015453000154530001,True,True,1.8109871910568138,HCC44,p<0.05,1.0,cutting_control,SMARCB1
STAT3-1,0.151648943368054,0.03469653034696531,0.04886835260135959,True,True,1.3109723012050642,HCC44,p<0.05,1.0,cutting_control,STAT3
