Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers
AKT1-1,0.09111718453826305,0.0922907709229077,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
AKT1-2,0.07761333845138896,0.12168783121687832,0.16444301515794368,False,False,0.7839845687777738,A549,p>=0.05
ARID1B-1,0.07417042155716784,0.131986801319868,0.16921384784598462,False,False,0.7715640987614932,A549,p>=0.05
ARID1B-2,0.06549617822178133,0.16518348165183483,0.2001004718805228,False,False,0.6987518872015421,A549,p>=0.05
ATF4-1,0.6580494723141782,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
ATF4-2,0.7603330220977279,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
ATP50-1,0.15027229031962516,0.034996500349965,0.0853573179267439,True,False,1.0687592396463226,A549,p<0.05
ATP50-2,0.2076679501200944,0.0282971702829717,0.0786032507860325,True,False,1.1045594925198596,A549,p<0.05
AURKB-2,0.036484019264323764,0.46715328467153283,0.46715328467153283,False,False,0.3305405931725196,A549,p>=0.05
BCL2-1,0.04832225106393403,0.28717128287171284,0.3087863256685084,False,False,0.5103419402605351,A549,p>=0.05
BCL2-2,0.14592914226392661,0.0374962503749625,0.08720058226735465,True,False,1.0594806151287304,A549,p<0.05
BCL2L2-1,0.04708518076783761,0.2996700329967003,0.3187979074432982,False,False,0.4964845379309166,A549,p>=0.05
BCL2L2-2,0.0518553495028251,0.25247475252474755,0.28367949721881747,False,False,0.5471720514670952,A549,p>=0.05
BCL2L2-4,0.09881136592897895,0.0795920407959204,0.13963515929108844,False,False,0.855005215211685,A549,p>=0.05
BRAF-2,0.10273445410396274,0.07379262073792621,0.13776400137764,False,False,0.8608642515539525,A549,p>=0.05
BRAF1-1,0.08851965933345475,0.09709029097090291,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
BRCA1-1,0.07056171244926542,0.14528547145285473,0.18160683931606839,False,False,0.7408677999707848,A549,p>=0.05
BRCA1-2,0.08587071294970744,0.10268973102689731,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
BRD4-1,0.08074750547513189,0.11388861113888611,0.15817862658178627,False,False,0.8008521996290308,A549,p>=0.05
BRD4-2,0.5588101010591568,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CCND1-1,0.23075752983884038,0.018098190180981903,0.05655684431556845,True,False,1.247514830727584,A549,p<0.05
CCND1-2,0.9782539682539682,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CCNE1-1,0.6132193732193733,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CCNE1-2,0.588634570468415,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CDK2-1,0.09921244948554053,0.0790920907909209,0.13963515929108844,False,False,0.855005215211685,A549,p>=0.05
CDK2-2,0.8813955026455026,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CDK4-1,0.2981974558063509,0.0021997800219978004,0.008460692392299232,True,True,2.0725940944254746,A549,p<0.05
CDK4-2,0.12142532573454495,0.05779422057794221,0.12290437622904377,False,False,0.9104326530103057,A549,p>=0.05
CDK4-3,0.3690765807449942,0.0005999400059994001,0.0027270000272700003,True,True,2.5643148577154253,A549,p<0.05
CHEK2-1,0.08799034170943414,0.09829017098290171,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
CHEK2-2,0.07640608681522766,0.12568743125687432,0.16537819902220305,False,False,0.7815217418716962,A549,p>=0.05
COX5B-1,0.04045715017016451,0.38836116388361164,0.39228400392284,False,False,0.4063994006384454,A549,p>=0.05
COX5B-2,0.1178329558058341,0.06229377062293771,0.12458754124587541,False,False,0.9045253849537118,A549,p>=0.05
CSNK1A1-1,0.8442990463642638,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
CSNK1A1-2,0.3020528504541755,0.0017998200179982,0.0071992800719928,True,True,2.142710930845594,A549,p<0.05
CTNNB1-1,0.21940239221736554,0.027097290270972903,0.0786032507860325,True,False,1.1045594925198596,A549,p<0.05
CTNNB1-2,0.09540534797177373,0.08309169083091691,0.1408333742896897,False,False,0.8512944151348958,A549,p>=0.05
DOT1L-1,0.08602103382535749,0.10238976102389762,0.1510143103336725,False,False,0.8209818963858209,A549,p>=0.05
DOT1L-2,0.10772738922506718,0.0695930406959304,0.13383277056909693,False,False,0.8734375313010998,A549,p>=0.05
EGFR-1,0.12083649158612125,0.058994100589941006,0.12290437622904377,False,False,0.9104326530103057,A549,p>=0.05
EGFR-2,0.3354257208194624,0.0011998800119988001,0.004999500049995001,True,True,2.301073422940844,A549,p<0.05
EGLN1-8,0.08367499111037102,0.10668933106689331,0.15255617295413318,False,False,0.8165702145985818,A549,p>=0.05
EGLN1-9,0.15445705226397985,0.0337966203379662,0.0853573179267439,True,False,1.0687592396463226,A549,p<0.05
ERBB2-1,0.40070744204472963,0.00029997000299970003,0.0015787894894721054,True,True,2.8016757735100293,A549,p<0.05
ERBB2-2,0.17905162251253295,0.029897010298970104,0.08080273053775704,True,False,1.092573963019428,A549,p<0.05
ERBB3-1,0.05857824634657865,0.20357964203579643,0.23399958854689246,False,False,0.63078490623076,A549,p>=0.05
ERBB3-2,0.04991675140428633,0.27047295270472954,0.29399233989644513,False,False,0.5316639851798297,A549,p>=0.05
EZH2-1,0.15113531706536606,0.034896510348965105,0.0853573179267439,True,False,1.0687592396463226,A549,p<0.05
EZH2-2,0.1087271542334775,0.06879312068793121,0.13383277056909693,False,False,0.8734375313010998,A549,p>=0.05
GLS-1,0.11788057812700674,0.06229377062293771,0.12458754124587541,False,False,0.9045253849537118,A549,p>=0.05
GLS-2,0.6158075495187937,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
GPX4-1,0.07803982563729432,0.1202879712028797,0.16444301515794368,False,False,0.7839845687777738,A549,p>=0.05
GPX4-2,0.07502443625870685,0.1287871212878712,0.16725600167256,False,False,0.7766182894255513,A549,p>=0.05
HIF1a-1,0.14652790945242306,0.037396260373962605,0.08720058226735465,True,False,1.0594806151287304,A549,p<0.05
HIF1a-2,0.06629034921260894,0.16198380161983802,0.1999800019998,False,False,0.6990134316128815,A549,p>=0.05
ITGAV-1,1.0,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
ITGAV-2,1.0,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
JAK3-1,0.125979840126209,0.0524947505249475,0.11665500116655,False,False,0.9330966376462495,A549,p>=0.05
JAK3-2,0.08212479935365556,0.11068893110688931,0.15589990296744974,False,False,0.8071541551172151,A549,p>=0.05
KIF11-1,0.5795738927789563,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
KIF11-2,0.5963764397563124,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
KRAS-1,0.35119042596853856,0.0007999200079992001,0.003477913078257392,True,True,2.458681276302512,A549,p<0.05
KRAS-2A,0.6789980373092938,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
KRAS-2B,0.09609406536784591,0.08249175082491751,0.1408333742896897,False,False,0.8512944151348958,A549,p>=0.05
MAPK1-1,0.059481632824018686,0.19888011198880112,0.23125594417302456,False,False,0.6359070953959948,A549,p>=0.05
MAPK1-2,0.2434556914563617,0.010498950104989501,0.03499650034996501,True,True,1.455975382926587,A549,p<0.05
MCL1-2,0.04613536849597108,0.3103689631036896,0.32330100323301003,False,False,0.49039294773028025,A549,p>=0.05
MCL1-5,0.06311470515358499,0.17788221177882213,0.2117645378319311,False,False,0.6741467652548192,A549,p>=0.05
MTOR-1,0.3789595336793001,0.0004999500049995,0.0024997500249975,True,True,2.602103418604825,A549,p<0.05
MTOR-2,0.28271947638495853,0.0030996900309969004,0.011480333448136667,True,True,1.9400454976015773,A549,p<0.05
MYC-1,1.0,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
MYC-2,0.9638888888888889,9.999000099990002e-05,0.0005555000055550001,True,True,3.2553159323801686,A549,p<0.05
PIK3CA-1,0.27558393392098485,0.0035996400359964,0.012855857271415713,True,True,1.8908989578517947,A549,p<0.05
PIK3CA-2,0.24261518821679617,0.0110988901109889,0.03580287132577065,True,True,1.446082142324478,A549,p<0.05
PRDX1-1,0.060430215696010446,0.19338066193380662,0.22750666109859605,False,False,0.6430058832441725,A549,p>=0.05
PRDX1-2,0.041891325813343934,0.3678632136786321,0.37537062620268585,False,False,0.4255397151382305,A549,p>=0.05
